Year,State,Energy Price
1979,LA,3.73
1979,MA,4.37
1979,MD,3.95
1979,ME,3.98
1979,MI,4.02
1979,MN,3.78
1979,MO,3.81
1979,MS,3.46
1979,MT,2.88
1979,NC,3.93
1979,ND,2.88
1979,NE,3.34
1979,NH,3.94
1979,NJ,4.11
1979,NM,3.13
1979,NV,3.02
1979,NY,4.11
1979,OH,3.92
1979,OK,3.56
1979,OR,3.79
1979,PA,3.88
1979,RI,3.98
1979,SC,3.91
1979,SD,3.85
1979,TN,3.78
1979,TX,4.15
1979,US,4.02
1979,UT,3.33
1979,VA,3.95
1979,VT,4.42
1979,WA,3.79
1979,WI,4.0
1979,WV,3.95
1979,WY,2.99
1980,AK,4.08
1980,AL,5.28
1980,AR,4.87
1980,AZ,4.48
1980,CA,5.98
1980,CO,5.11
1980,CT,6.04
1980,DC,4.59
1980,DE,5.31
1980,FL,5.75
1980,GA,6.06
1980,HI,4.6
1980,IA,5.52
1980,ID,4.45
1980,IL,5.6
1980,IN,5.47
1980,KS,4.6
1980,KY,5.92
1980,LA,5.0
1980,MA,6.12
1980,MD,5.78
1980,ME,5.67
1980,MI,5.56
1980,MN,5.08
1980,MO,5.83
1980,MS,4.8
1980,MT,3.91
1980,NC,5.82
1980,ND,5.0
1980,NE,4.96
1980,NH,5.88
1980,NJ,5.87
1980,NM,5.02
1980,NV,4.04
1980,NY,5.68
1980,OH,5.69
1980,OK,5.33
1980,OR,5.62
1980,PA,5.85
1980,RI,5.65
1980,SC,5.15
1980,SD,4.17
1980,TN,5.5
1980,TX,5.49
1980,US,5.78
1980,UT,4.54
1980,VA,5.64
1980,VT,6.28
1980,WA,5.05
1980,WI,5.58
1980,WV,5.55
1980,WY,4.04
1981,AK,5.18
1981,AL,6.08
1981,AR,5.83
1981,AZ,5.32
1981,CA,7.05
1981,CO,6.11
1981,CT,7.56
1981,DC,5.42
1981,DE,6.51
1981,FL,6.68
1981,GA,6.97
1981,HI,5.68
1981,IA,6.05
1981,ID,5.31
1981,IL,6.96
1981,IN,6.33
1981,KS,5.7
1981,KY,6.94
1981,LA,5.34
1981,MA,7.01
1981,MD,6.81
1981,ME,6.1
1981,MI,6.45
1981,MN,6.42
1981,MO,7.0
1981,MS,6.0
1981,MT,4.61
1981,NC,7.22
1981,ND,5.52
1981,NE,6.04
1981,NH,6.96
1981,NJ,7.01
1981,NM,5.81
1981,NV,5.22
1981,NY,6.81
1981,OH,6.6
1981,OK,5.6
1981,OR,6.4
1981,PA,7.02
1981,RI,6.97
1981,SC,6.57
1981,SD,5.42
1981,TN,6.62
1981,TX,6.37
1981,US,6.91
1981,UT,5.46
1981,VA,6.75
1981,VT,7.18
1981,WA,6.46
1981,WI,6.77
1981,WV,6.46
1981,WY,4.58
1982,AK,5.15
1982,AL,6.25
1982,AR,6.54
1982,AZ,5.78
1982,CA,7.1
1982,CO,5.73
1982,CT,7.51
1982,DC,6.3
1982,DE,5.97
1982,FL,6.96
1982,GA,7.01
1982,HI,5.84
1982,IA,6.16
1982,ID,6.62
1982,IL,7.06
1982,IN,6.41
1982,KS,5.34
1982,KY,6.88
1982,LA,6.58
1982,MA,7.51
1982,MD,6.77
1982,ME,6.83
1982,MI,7.04
1982,MN,6.76
1982,MO,6.96
1982,MS,6.04
1982,MT,4.83
1982,NC,7.05
1982,ND,5.72
1982,NE,5.72
1982,NH,6.86
1982,NJ,7.02
1982,NM,4.97
1982,NV,5.51
1982,NY,7.02
1982,OH,7.22
1982,OK,5.61
1982,OR,6.62
1982,PA,7.02
1982,RI,6.87
1982,SC,6.6
1982,SD,5.43
1982,TN,6.59
1982,TX,6.42
1982,US,6.86
1982,UT,5.83
1982,VA,6.94
1982,VT,7.42
1982,WA,7.08
1982,WI,6.94
1982,WV,6.96
1982,WY,4.85
1983,AK,5.69
1983,AL,6.28
1983,AR,6.2
1983,AZ,6.24
1983,CA,6.75
1983,CO,6.38
1983,CT,7.42
1983,DC,6.44
1983,DE,6.03
1983,FL,6.56
1983,GA,6.43
1983,HI,5.96
1983,IA,6.59
1983,ID,6.26
1983,IL,6.46
1983,IN,6.26
1983,KS,5.93
1983,KY,6.8
1983,LA,6.23
1983,MA,7.17
1983,MD,6.59
1983,ME,6.93
1983,MI,6.65
1983,MN,6.33
1983,MO,6.44
1983,MS,6.15
1983,MT,5.39
1983,NC,6.4
1983,ND,5.76
1983,NE,6.11
1983,NH,6.86
1983,NJ,7.05
1983,NM,5.22
